Time,Censor
12.4,0
12.4,0
9.6,0
7.2,0
14.1,0
14.1,0
12.4,0
14.2,0
12.4,0
14.5,0
12.4,0
10.8,0
10.9,1
10.3,0
13.6,1
11.9,0
12.5,0
5.9,0
12.4,0
14.1,0
9.8,1
7.2,0
3.5,0
0,0
12.1,1
1.9,0
8.6,0
14,0
14.3,0
12.4,0
12.4,0
14.4,0
14.2,0
14.5,0
12.4,0
14.3,0
13.7,1
13.4,0
12.5,0
14.4,0
12.6,0
13.8,0
14,0
6.8,0
12.4,0
12.9,0
8.9,0
12.4,0
14.5,0
13,0
13.4,0
10.6,0
13.9,0
16.9,0
3.6,0
10.2,0
15.7,0
12,0
6.7,1
11.6,0
2,1
10.2,0
3.6,0
15.4,0
11.3,0
10.3,0
5.8,0
8,1
14.6,0
11.4,0
7.2,0
5.5,0
11.1,0
16.5,0
10.9,0
2.5,0
10.8,1
4.7,0
5.5,1
4.5,0
9,0
6.8,0
3.6,1
12.1,0
8.1,0
11.1,0
7,1
1.5,0
11.7,0
0.3,0
13.6,0
15,0
11.2,0
3,0
13.7,0
10.2,0
12.4,0
1.1,0
16.3,0
6.7,0
15.4,0
7.6,1
3.6,1
11.5,0
13.5,0
10.6,0
6.5,1
14.3,1
11.6,0
15.4,0
11,0
11,1
4.8,1
14.8,0
1.8,0
15.8,0
14.1,0
4.6,0
15.5,0
7.2,1
14.5,0
10.5,0
14.3,0
2.2,1
5,0
12.4,0
1.1,0
15.4,0
14.3,0
15.6,0
12.5,1
12.3,0
14.8,0
10.2,0
12.3,0
10.3,0
8.5,0
10.2,0
10,1
7.3,0
15.3,1
14,0
15.8,0
11.4,0
5.5,1
11.1,0
7.3,0
10.6,1
10.5,0
